Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
25-03-2026,9,16451.45,22408.63,9877.68,9877.68,3018.23,3045.63
25-03-2026,10,14136.43,32654.38,9855.52,9855.52,2212.61,2205.88
25-03-2026,11,13579.58,43220.63,11346.51,11346.51,1732.54,1726.36
25-03-2026,12,14010.18,49072.00,12366.25,12366.25,1549.67,1549.72
25-03-2026,13,13097.58,51902.30,12149.78,12149.78,1547.72,1547.76
25-03-2026,14,12396.53,53781.43,11269.13,11269.13,1546.12,1546.12
25-03-2026,15,13726.73,49364.55,11215.52,11215.52,1759.19,1755.06
25-03-2026,16,15338.23,40639.00,10724.73,10724.73,2131.97,2133.88
25-03-2026,17,17216.65,28974.00,11088.50,11088.50,2897.77,2890.90
25-03-2026,18,16425.05,18049.28,9183.52,9183.52,3284.14,3291.29
25-03-2026,19,18747.43,12362.95,9084.90,9084.90,6291.16,6136.90
25-03-2026,20,19150.95,11155.30,8535.22,8535.22,7474.99,7444.94
25-03-2026,21,17655.95,13341.28,9819.30,9819.30,4918.15,4917.61
25-03-2026,22,17739.45,12543.65,8720.78,8720.78,4562.60,4563.43
25-03-2026,23,15949.90,12078.45,7235.32,7235.32,3849.77,3851.38
25-03-2026,24,15220.35,11794.33,6575.17,6575.17,3600.54,3600.54
26-03-2026,1,18058.05,12127.38,6377.97,6377.97,4349.13,4347.24
26-03-2026,2,17736.50,14212.40,7069.31,7069.31,4161.83,4159.68
26-03-2026,3,17892.10,15795.35,8015.15,8015.15,3995.50,3995.49
26-03-2026,4,18017.78,16844.45,8183.25,8183.25,3862.88,3862.94
26-03-2026,5,17641.90,16331.30,8035.55,8035.55,3888.23,3887.93
26-03-2026,6,17407.25,11421.13,7349.50,7349.50,4574.79,4550.78
26-03-2026,7,18280.68,10099.53,7542.58,7542.58,5073.57,5079.70
26-03-2026,8,19002.30,11882.38,8717.82,8717.82,4748.05,4743.88
26-03-2026,9,16718.68,19409.53,9520.26,9520.26,3260.72,3270.89
26-03-2026,10,14701.08,31035.85,9063.74,9063.74,2491.63,2481.58
26-03-2026,11,13738.60,42852.58,11465.54,11465.54,1732.75,1723.32
26-03-2026,12,14249.73,46816.68,12562.70,12562.70,1543.80,1543.80
26-03-2026,13,13511.95,49455.30,12586.15,12586.15,1543.53,1543.53
26-03-2026,14,12675.28,51611.40,11885.23,11885.23,1543.19,1543.19
26-03-2026,15,14007.80,45672.93,12578.67,12578.67,1552.76,1553.00
26-03-2026,16,16182.58,37705.95,12020.09,12020.09,2047.17,2017.76
26-03-2026,17,17076.95,27760.28,10346.23,10346.23,2941.15,2935.26
26-03-2026,18,16192.10,15542.40,8498.46,8498.46,3643.20,3655.71
26-03-2026,19,18362.50,10623.08,8282.24,8282.24,7570.24,7326.33
26-03-2026,20,20651.40,9300.13,7508.52,7508.52,10000.00,10000.00
26-03-2026,21,18325.25,10977.23,8982.00,8982.00,6936.55,6917.52
26-03-2026,22,17246.48,10274.63,8044.05,8044.05,5647.56,5648.06
26-03-2026,23,16739.40,9409.43,6857.16,6857.16,5127.30,5132.03
26-03-2026,24,15927.30,10101.40,5977.57,5977.57,4324.96,4332.17
27-03-2026,1,17733.90,12831.93,8625.05,8625.05,4541.32,4540.13
27-03-2026,2,17906.90,15108.45,9263.30,9263.30,4191.22,4191.46
27-03-2026,3,18315.13,16335.38,9835.45,9835.45,4036.42,4036.43
27-03-2026,4,18571.28,17045.93,10226.93,10226.93,3980.09,3980.25
27-03-2026,5,17920.98,16383.35,9599.48,9599.48,3903.77,3903.76
