date,hour,exchange,mcp,mcv,buy_volume,sell_volume,day_of_week,month,is_weekend,is_peak,grid_period_Evening_Peak,grid_period_Morning_Peak,grid_period_Off_Peak,buy_sell_ratio,daily_avg_mcp,mcp_lag1,mcp_roll7_mean,mcp_roll7_std,mcp_ema_12,mcp_ema_24
2026-03-31,17.0,IEX,3.03093,13506.18,18058.93,31178.7,1,3,0,1,False,False,True,0.5792072791427457,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,18.0,IEX,3.65799,11242.18,19093.9,19728.55,1,3,0,1,True,False,False,0.9678308841917775,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,14.0,IEX,1.54584,13629.53,13958.5,50287.95,1,3,0,1,False,False,True,0.27757146587252585,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,20.0,IEX,10.0,6824.52,20762.53,8948.63,1,3,0,1,True,False,False,2.320190909312162,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,21.0,IEX,10.0,7242.08,18541.43,9349.58,1,3,0,1,True,False,False,1.98312972135312,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,22.0,IEX,10.0,6731.48,18714.43,8838.98,1,3,0,1,True,False,False,2.1172612653074663,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,23.0,IEX,10.0,5983.94,19041.58,8091.45,1,3,0,0,False,False,True,2.3532963778392055,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,19.0,IEX,8.725200000000001,8289.5,20296.73,10607.9,1,3,0,1,True,False,False,1.9133598526443878,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,13.0,IEX,1.87175,13585.55,14532.9,48123.78,1,3,0,1,False,False,True,0.30198999324201253,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,24.0,IEX,10.0,5868.49,19062.8,7976.0,1,3,0,0,False,False,True,2.390020057184027,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,11.0,IEX,2.01975,12390.76,14057.45,41452.68,1,3,0,1,False,False,True,0.3391204138455896,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,1.0,IEX,10.0,8319.83,21394.65,10427.33,1,3,0,0,False,False,True,2.0517860257114853,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,2.0,IEX,10.0,9918.65,21541.83,12026.15,1,3,0,0,False,False,True,1.791249068246073,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,3.0,IEX,9.50075,11686.77,21642.8,13802.25,1,3,0,0,False,False,True,1.5680631769689266,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,4.0,IEX,8.15546,12823.03,22049.4,15009.43,1,3,0,0,False,False,True,1.469036464763128,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,5.0,IEX,8.87534,12425.88,22703.45,14574.9,1,3,0,0,False,False,True,1.5577087996777277,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,12.0,IEX,1.88333,13424.27,14496.38,45896.65,1,3,0,1,False,False,True,0.3158483243731626,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
